gid  netid1    netid2    vm_hostname
91   yinting3  ml164     fa26-cs425-9101.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9102.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9103.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9104.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9105.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9106.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9107.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9108.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9109.cs.illinois.edu
91   yinting3  ml164     fa26-cs425-9110.cs.illinois.edu
